project_id,project_name,ministry,sector,region,sanction_date,sanctioned_cost_cr,planned_completion_date,planned_duration_years,as_of_date,months_since_sanction,physical_progress_pct,financial_progress_pct,cumulative_expenditure_cr,revised_cost_cr,cost_revisions_count,project_stage,land_acquisition_status,approval_delay_months,financing_irregularity_flag,contractor_track_record_score,ministry_reporting_compliance_rate,months_since_last_report,consecutive_missed_cycles,is_completed,actual_completion_date,final_cost_overrun_pct,final_delay_months
PAI-00001,Steel Project 00001,Steel,Steel,Central,2022-06-09,624.98,2028-04-18,5.86,2026-09-06,51,65.9,47.8,346.93,726.23,1,construction,complete,3.5,0,0.615,0.782,0,0,0,,16.2,22.8
PAI-00002,Roads Project 00002,Road Transport & Highways,Roads,Central,2012-01-02,316.26,2015-03-17,3.21,2015-04-03,39,100.0,100.0,319.45,319.45,0,construction,complete,0.3,0,0.923,0.892,0,0,1,2015-04-03,1.01,0.6
PAI-00003,Roads Project 00003,Road Transport & Highways,Roads,South,2024-04-03,150.0,2027-03-13,2.94,2026-09-06,29,66.1,62.7,94.31,150.51,0,construction,partial,2.0,0,0.61,0.899,3,3,0,,0.34,0.9
PAI-00004,Steel Project 00004,Steel,Steel,West,2026-01-03,1799.43,2030-08-28,4.65,2026-09-06,8,5.0,0.3,5.8,1801.69,0,pre_construction,partial,8.8,0,0.908,0.908,0,0,0,,0.13,0.2
PAI-00005,Roads Project 00005,Road Transport & Highways,Roads,Central,2018-07-04,1087.7,2022-03-15,3.7,2023-10-18,63,100.0,100.0,1238.07,1238.07,1,construction,complete,5.5,0,0.508,0.893,0,0,1,2023-10-18,13.82,19.1
PAI-00006,Water Resources Project 00006,Jal Shakti (Water Resources),Water Resources,East,2020-03-19,1850.87,2027-02-12,6.9,2026-09-06,78,21.3,14.0,258.6,1850.87,0,construction,complete,1.3,0,0.434,0.771,3,3,0,,0.0,1.9
PAI-00007,Roads Project 00007,Road Transport & Highways,Roads,North,2020-04-04,337.93,2023-04-21,3.05,2023-04-26,36,100.0,100.0,337.93,337.93,0,construction,complete,3.3,0,0.826,0.99,0,0,1,2023-04-26,0.0,0.1
PAI-00008,Roads Project 00008,Road Transport & Highways,Roads,North,2024-01-13,1136.84,2027-01-06,2.98,2026-09-06,32,42.4,27.8,372.11,1336.28,3,construction,complete,1.8,1,0.362,0.947,0,0,0,,17.54,0.7
PAI-00009,Roads Project 00009,Road Transport & Highways,Roads,North-East,2016-11-25,250.78,2020-08-17,3.73,2020-09-11,46,100.0,100.0,264.28,264.28,1,construction,complete,1.2,0,0.738,0.933,0,0,1,2020-09-11,5.38,0.8
PAI-00010,Roads Project 00010,Road Transport & Highways,Roads,Central,2019-04-20,2392.63,2022-09-20,3.42,2022-09-25,41,100.0,100.0,2392.63,2392.63,0,construction,complete,2.3,1,0.963,0.99,0,0,1,2022-09-25,0.0,0.2
PAI-00011,Telecom Project 00011,Telecommunications,Telecom,North-East,2016-11-28,1107.67,2020-03-26,3.33,2023-07-29,80,100.0,100.0,1108.68,1108.68,0,construction,complete,1.3,0,0.482,0.78,0,0,1,2023-07-29,0.09,40.1
PAI-00012,Power Project 00012,Power,Power,East,2008-01-16,418.77,2014-04-01,6.21,2014-04-27,75,100.0,100.0,418.77,418.77,0,construction,complete,2.8,0,0.646,0.834,0,0,1,2014-04-27,0.0,0.8
PAI-00013,Mining Project 00013,Coal,Mining,Central,2020-04-13,711.14,2025-09-30,5.47,2026-09-06,77,60.2,44.0,401.88,914.22,1,construction,complete,3.6,0,0.519,0.852,0,0,0,,28.56,22.5
PAI-00014,Roads Project 00014,Road Transport & Highways,Roads,East,2017-10-14,211.07,2020-10-14,3.0,2020-11-06,37,100.0,100.0,211.49,211.49,0,construction,complete,5.1,1,0.347,0.888,0,0,1,2020-11-06,0.2,0.8
PAI-00015,Roads Project 00015,Road Transport & Highways,Roads,North,2024-07-16,2339.37,2027-07-01,2.96,2026-09-06,26,60.5,50.4,2156.4,4277.59,4,construction,complete,3.6,0,0.417,0.99,0,0,0,,82.85,17.5
PAI-00016,Fertilizers Project 00016,Fertilizers,Fertilizers,North-East,2025-10-19,150.0,2030-07-20,4.75,2026-09-06,11,10.8,8.3,12.55,150.41,0,pre_construction,not_started,13.3,0,0.795,0.874,0,0,0,,0.27,0.9
PAI-00017,Petroleum Project 00017,Petroleum & Natural Gas,Petroleum,South,2016-02-19,1631.66,2020-07-01,4.37,2020-07-24,53,100.0,100.0,1645.13,1645.13,0,construction,complete,4.4,0,0.735,0.908,0,0,1,2020-07-24,0.83,0.7
PAI-00018,Roads Project 00018,Road Transport & Highways,Roads,Central,2019-06-24,834.51,2022-05-06,2.87,2022-05-24,35,100.0,100.0,840.27,840.27,0,construction,complete,0.4,0,0.35,0.963,0,0,1,2022-05-24,0.69,0.6
PAI-00019,Power Project 00019,New & Renewable Energy,Power,South,2026-03-02,2020.18,2031-09-18,5.55,2026-09-06,6,12.0,5.5,113.68,2051.02,0,pre_construction,partial,8.3,1,0.431,0.864,5,5,0,,1.53,0.2
PAI-00020,Mining Project 00020,Coal,Mining,North,2018-12-13,515.14,2022-09-25,3.78,2022-10-18,46,100.0,100.0,515.14,515.14,1,construction,complete,2.0,0,0.579,0.827,0,0,1,2022-10-18,0.0,0.7
PAI-00021,Roads Project 00021,Road Transport & Highways,Roads,South,2020-06-13,738.04,2024-05-09,3.91,2024-05-23,47,100.0,100.0,926.72,926.72,3,construction,complete,1.3,1,0.929,0.838,0,0,1,2024-05-23,25.56,0.5
PAI-00022,Roads Project 00022,Road Transport & Highways,Roads,East,2024-04-20,385.58,2027-06-27,3.18,2026-09-06,29,23.4,18.3,70.62,385.58,0,construction,complete,3.1,0,0.647,0.917,0,0,0,,0.0,0.5
PAI-00023,Water Resources Project 00023,Jal Shakti (Water Resources),Water Resources,West,2008-07-22,859.25,2012-12-31,4.44,2013-01-12,54,100.0,100.0,859.25,859.25,0,construction,complete,1.6,1,0.804,0.866,0,0,1,2013-01-12,0.0,0.4
PAI-00024,Ports & Shipping Project 00024,Shipping (Ports),Ports & Shipping,Central,2017-02-25,520.32,2020-12-06,3.78,2021-03-07,49,100.0,100.0,523.34,523.34,0,construction,complete,1.2,0,0.568,0.859,0,0,1,2021-03-07,0.58,3.0
PAI-00025,Roads Project 00025,Road Transport & Highways,Roads,North-East,2017-01-22,2023.86,2019-08-23,2.58,2019-09-04,32,100.0,100.0,2023.86,2023.86,0,construction,complete,9.8,0,0.616,0.965,0,0,1,2019-09-04,0.0,0.4
PAI-00026,Railways Project 00026,Railways,Railways,North-East,2026-08-05,2245.49,2032-09-05,6.09,2026-09-06,1,4.4,3.1,70.53,2276.94,0,pre_construction,complete,4.4,0,0.483,0.929,0,0,0,,1.4,0.2
PAI-00027,Steel Project 00027,Steel,Steel,North,2025-12-06,768.54,2030-07-05,4.58,2026-09-06,9,7.8,6.4,48.96,770.32,0,pre_construction,not_started,4.0,0,0.305,0.848,0,0,0,,0.23,0.2
PAI-00028,Roads Project 00028,Road Transport & Highways,Roads,Central,2008-02-04,1053.89,2011-07-29,3.48,2014-07-08,77,100.0,100.0,1916.2,1916.2,1,construction,complete,0.1,0,0.926,0.945,0,0,1,2014-07-08,81.82,35.3
PAI-00029,Roads Project 00029,Road Transport & Highways,Roads,North-East,2021-10-08,1227.66,2024-10-09,3.01,2026-09-06,59,80.2,64.5,989.96,1535.29,4,construction,complete,7.5,0,0.689,0.931,0,0,0,,25.06,88.2
PAI-00030,Ports & Shipping Project 00030,Shipping (Ports),Ports & Shipping,West,2005-06-26,189.22,2009-04-28,3.84,2009-05-06,47,100.0,100.0,192.6,192.6,0,construction,complete,3.4,0,0.635,0.823,0,0,1,2009-05-06,1.79,0.3
PAI-00031,Roads Project 00031,Road Transport & Highways,Roads,Central,2008-03-04,2093.43,2012-01-04,3.84,2012-01-07,46,100.0,100.0,2127.87,2127.87,1,construction,complete,0.6,0,0.384,0.891,0,0,1,2012-01-07,1.65,0.1
PAI-00032,Urban Infrastructure Project 00032,Housing & Urban Affairs,Urban Infrastructure,North,2007-12-21,305.17,2012-01-24,4.09,2012-02-04,50,100.0,100.0,306.53,306.53,0,construction,complete,2.3,0,0.441,0.895,0,0,1,2012-02-04,0.45,0.4
PAI-00033,Urban Infrastructure Project 00033,Housing & Urban Affairs,Urban Infrastructure,West,2025-10-12,1342.79,2030-04-05,4.48,2026-09-06,11,1.5,0.6,8.38,1369.05,0,pre_construction,not_started,2.0,1,0.464,0.852,0,0,0,,1.96,7.0
PAI-00034,Roads Project 00034,Road Transport & Highways,Roads,North-East,2023-01-03,1029.7,2026-10-09,3.77,2026-09-06,44,50.9,50.0,522.86,1046.24,0,construction,complete,2.7,0,0.487,0.953,0,0,0,,1.61,0.3
PAI-00035,Roads Project 00035,Road Transport & Highways,Roads,East,2021-04-25,304.21,2025-03-29,3.93,2025-04-04,48,100.0,100.0,305.19,305.19,0,construction,complete,2.5,0,0.401,0.969,0,0,1,2025-04-04,0.32,0.2
PAI-00036,Rural Infrastructure Project 00036,Rural Development,Rural Infrastructure,North,2021-05-21,414.46,2024-11-30,3.53,2026-09-06,64,63.7,48.3,201.48,417.17,1,construction,complete,4.2,0,0.766,0.796,1,1,0,,0.65,55.7
